2024-07-02T18:53:15.095Z,0
2024-07-02T18:53:23.587Z,92
2024-07-02T18:58:16.341Z,92
2024-07-02T18:58:22.071Z,68
2024-07-02T19:01:35.516Z,92
2024-07-02T19:07:29.649Z,4
2024-07-02T19:09:21.925Z,44
2024-07-02T19:09:29.153Z,72
2024-07-02T19:10:12.102Z,228
2024-07-02T19:10:39.573Z,688
2024-07-02T19:29:47.190Z,84
2024-07-02T19:29:53.292Z,0
2024-07-02T19:30:11.136Z,112
2024-07-02T19:42:00.685Z,156
2024-07-02T19:44:08.625Z,52
2024-07-02T19:44:14.780Z,112
2024-07-02T19:49:27.232Z,216
2024-07-02T19:49:31.257Z,24
2024-07-02T19:50:18.905Z,0
2024-07-02T19:50:21.393Z,4
2024-07-02T19:50:25.010Z,4
2024-07-02T19:50:30.553Z,28
2024-07-02T19:50:35.579Z,168
2024-07-02T19:53:59.622Z,112
2024-07-02T19:54:32.380Z,872
2024-07-02T19:56:31.865Z,500
2024-07-02T19:57:42.702Z,196
2024-07-02T19:57:49.545Z,64
2024-07-02T19:58:23.003Z,1044
2024-07-02T20:00:21.850Z,4
2024-07-02T20:00:26.495Z,20
2024-07-02T20:00:51.395Z,0
2024-07-02T20:00:53.123Z,0
2024-07-02T20:00:53.965Z,0
2024-07-02T20:00:54.718Z,0
2024-07-02T20:00:55.431Z,0
2024-07-02T20:03:25.997Z,32
2024-07-02T20:03:36.634Z,16
2024-07-02T20:05:49.288Z,68
2024-07-02T20:05:59.725Z,0
2024-07-02T20:06:17.263Z,28
2024-07-02T20:10:03.673Z,724
2025-09-15T16:27:48.920Z,1392,TestUser123
2025-01-08T12:00:00.000Z,999,TestKV
2025-01-08T13:00:00.000Z,777,TestDupe
